,UTCtimestamps,timestamp,open,high,low,close,volume,vwap
296,1.45301E+12,2016-01-17 00:00:00-05:00,41.742,42.094,38.25,40.51,80837315,40.08713
297,1.45361E+12,2016-01-24 00:00:00-05:00,40.012,40.714,36.482,38.24,93625415,38.21906
298,1.45422E+12,2016-01-31 00:00:00-05:00,37.752,39.904,31.5488,32.52,164127975,35.16928
299,1.45482E+12,2016-02-07 00:00:00-05:00,31.421,32.652,28.21,30.208,249219805,30.24574
300,1.45543E+12,2016-02-14 00:00:00-05:00,31.74,34.59,30.822,33.316,91329585,32.64149
301,1.45603E+12,2016-02-21 00:00:00-05:00,34.024,38.4,33.568,38.068,141279460,36.04074
302,1.45664E+12,2016-02-28 00:00:00-05:00,38.48,40.806,36.3,40.208,136958140,38.48373
303,1.45724E+12,2016-03-06 00:00:00-05:00,39.536,42.658,39.48,41.5,106299595,41.15851
304,1.45785E+12,2016-03-13 00:00:00-05:00,42.53,46.896,42.128,46.548,96287725,44.38727
305,1.45845E+12,2016-03-20 00:00:00-04:00,47.068,47.976,43,45.55,97667255,46.26092
306,1.45905E+12,2016-03-27 00:00:00-04:00,46.322,49.58,45,47.518,179916890,46.85791
307,1.45966E+12,2016-04-03 00:00:00-04:00,49.824,53.868,48,50.014,256748055,50.8908
308,1.46026E+12,2016-04-10 00:00:00-04:00,50.2,51.798,48.726,50.902,138675235,50.33888
309,1.46087E+12,2016-04-17 00:00:00-04:00,50.446,51.662,48.2502,50.75,111961625,49.98563
310,1.46147E+12,2016-04-24 00:00:00-04:00,50.602,51.476,47.562,48.152,90153860,49.84961
311,1.46208E+12,2016-05-01 00:00:00-04:00,48.3,48.638,41.622,42.986,168862275,44.62111
312,1.46268E+12,2016-05-08 00:00:00-04:00,43.144,43.23,40.7314,41.522,102410595,41.84493
313,1.46328E+12,2016-05-15 00:00:00-04:00,41.63,44.11,40.804,44.056,136394545,42.63769
314,1.46389E+12,2016-05-22 00:00:00-04:00,43.974,45.186,43.036,44.608,94858165,44.05686
315,1.46449E+12,2016-05-29 00:00:00-04:00,44.608,44.9499,43.378,43.798,50167495,44.01201
316,1.4651E+12,2016-06-05 00:00:00-04:00,43.6,48.169,43.09,43.758,124768770,45.80942
317,1.4657E+12,2016-06-12 00:00:00-04:00,43.9,45.154,42.506,43.094,81156450,43.64515
318,1.46631E+12,2016-06-19 00:00:00-04:00,43.9,44.75,37.946,38.63,244902245,40.03883
319,1.46691E+12,2016-06-26 00:00:00-04:00,38.172,43.648,37.574,43.3,147798450,40.91
320,1.46752E+12,2016-07-03 00:00:00-04:00,41.946,43.962,41.6,43.356,88701035,42.73336
321,1.46812E+12,2016-07-10 00:00:00-04:00,43.992,45.5,43.902,44.08,92350655,44.68221
322,1.46873E+12,2016-07-17 00:00:00-04:00,43.928,45.96,43.66,44.454,80519805,44.90685
